date,startup,vertical,subvertical,city,investors,round,amount,month,year
2016-12-05,Life Circl,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,1.24755,December,2016
2016-05-13,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,112.2795,May,2016
2016-05-13,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,0.0,May,2016
2016-05-16,Smartivity,eCommerce,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,8.317,May,2016
2016-05-18,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,0.41585,May,2016
2016-05-18,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,0.8317,May,2016
2016-05-18,EduPristin,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,83.17,May,2016
2016-05-18,BhiveWorkspac,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,8.317,May,2016
2016-05-19,Appi,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,8.317,May,2016
2016-05-19,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,4.1585,May,2016
2016-05-19,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,4.1585,May,2016
2016-05-01,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,2.4951,May,2016
2016-03-05,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,0.740213,March,2016
2016-04-05,Goalwis,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,8.317,April,2016
2016-05-05,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,12.4755,May,2016
2016-05-05,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,0.8317,May,2016
2016-06-05,Clearta,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,0.0,June,2016
2016-06-05,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,3.950575,June,2016
2016-05-30,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,0.0,May,2016
2016-05-31,Koovs,eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,36.5948,May,2016
2016-05-31,CCavenu,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,74.0213,May,2016
2016-05-31,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,1.455475,May,2016
2016-01-04,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,5.8219,January,2016
2016-04-04,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,41.585,April,2016
2016-06-04,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,8.317,June,2016
2016-06-04,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,4.1585,June,2016
2016-06-04,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,Lxe2x80x99Occitane,Private Equity,49.902,June,2016
2016-06-04,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,8.317,June,2016
2016-08-04,imedilan,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,0.33268,August,2016
2016-11-04,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,0.0,November,2016
2016-11-04,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,831.7,November,2016
2016-11-04,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,2.4951,November,2016
2016-12-04,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,8.317,December,2016
2016-04-13,Legalraasta,Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,8.317,April,2016
2016-04-13,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,1.24755,April,2016
2016-04-13,Hippily,eCommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,0.41585,April,2016
2016-04-13,kredX,eCommerce,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,"Prime Venture Partners,",Seed Funding,6.23775,April,2016
2016-04-14,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,0.8317,April,2016
2016-04-15,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed Funding,8.317,April,2016
2016-04-15,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity,124.755,April,2016
2016-04-15,NestAway,Consumer Internet,Furnished Home Rental Platform,Bangalore,Tiger Global,Private Equity,249.51,April,2016
2016-04-15,Tapchief,Consumer Internet,Expert Advice Platform,Bangalore,Vijay Shekhar Sharma,Seed Funding,1.24755,April,2016
2016-04-18,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,83.17,April,2016
2016-04-19,Betaout,eCommerce,customer intelligence and marketing automation platform,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private Equity,12.4755,April,2016
2016-04-19,DriversCart,Consumer Internet,on-demand chauffeur provider,Chennai,h! Ventures,Seed Funding,3.74265,April,2016
2016-04-19,CollegeDekho,Consumer Internet,College & Student information platform,New Delhi,Man Capital,Private Equity,0.0,April,2016
2016-04-01,1mg,eCommerce,Online Pharmacy,Gurgaon,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private Equity,124.755,April,2016
2016-04-01,Licious,eCommerce,Mobile based Meat ordering App,Bangalore,Mayfield India II Management Ltd,Private Equity,24.951,April,2016
2016-04-01,TOKO Innovation Studios,Consumer Internet,Children\xe2\x80\x99s Entertainment Games & Products,New Delhi,Indian Angel network,Seed Funding,3.74265,April,2016
2016-05-04,Commut,Consumer Internet,Shuttle Service Provider,Hyderabad,50K Ventures,Seed Funding,0.0,May,2016
2016-05-04,Dropkaff,Food & Beverage,Ready-to-Drink Beverage Producer,Bangalore,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",Seed Funding,4.57435,May,2016
2016-06-04,Transerv,Consumer Internet,Digital Payments platform,Mumbai,"IDFC SPICE Fund, Micromax Informatics",Private Equity,124.755,June,2016
2016-06-04,ClearTa,Consumer Internet,Online filing of Tax returns,Bangalore,"Max Levchin, Scott Banister",Private Equity,10.8121,June,2016
2016-06-04,Roposo,eCommerce,Social Fashion ECommerce Discovery platform,Gurgaon,Bertelsmann India Investments,Private Equity,124.755,June,2016
2016-07-04,MilkBasket,Consumer Internet,Micro Grocery Delivery Platform,Gurgaon,EVC Ventures,Seed Funding,4.1585,July,2016
2016-07-04,ICHR,Consumer Internet,Mobile based Children health Information app,New Delhi,Undisclosed,Seed Funding,3.74265,July,2016
2016-08-04,The Wedding Brigad,Consumer Internet,Online Wedding Information Portal,Mumbai,Blume Ventures & Other unnamed Investors,Seed Funding,4.9902,August,2016
2016-08-04,DocsApp,Consumer Internet,Online Doctor Discovery & Chat platform,Bangalore,"Rebright Partners, Anand Rajaraman, Venky Harinarayan",Private Equity,9.9804,August,2016
2016-09-04,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,"RB Investments, Fundnel",Seed Funding,4.1585,September,2016
2016-09-04,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,0.8317,September,2016
2016-03-01,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,4.9902,March,2016
2016-03-01,Systemantics,Technology,Industrial robots maker,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,11.6438,March,2016
2016-03-03,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,8.317,March,2016
2016-03-03,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Seed Funding,4.1585,March,2016
2016-04-03,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,8.317,April,2016
2016-04-03,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed Funding,1.24755,April,2016
2016-04-03,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed Funding,0.8317,April,2016
2016-04-03,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity,33.268,April,2016
2016-07-03,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,4.1585,July,2016
2016-07-03,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,24.951,July,2016
2016-07-03,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,4.1585,July,2016
2016-07-03,Vanity Cub,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed Funding,0.41585,July,2016
2016-07-03,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Seed Funding,0.8317,July,2016
2016-08-03,LoveCycles,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bangalore,Prime Venture Partners,Seed Funding,6.23775,August,2016
2016-08-03,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,66.536,August,2016
2016-08-03,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,5.40605,August,2016
2016-09-03,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,4.1585,September,2016
2016-09-03,MyGubbi,Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,Bangalore,"Vipul Parekh, ajesh K Murthy,",Seed Funding,4.1585,September,2016
2016-09-03,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed Funding,8.317,September,2016
2016-09-03,Justrid,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,3.3268,September,2016
2016-10-03,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,Private Equity,92.3187,October,2016
2016-10-03,Icertis,Technology,Contract Management Software Solutions platform,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,124.755,October,2016
